	0	10	20	30	40	50	60	70	80	90	100
0	331.450368	331.482583	331.514811	331.547051	331.579305	331.611572	331.643852	331.676145	331.708451	331.74077	331.773102
10	337.463236	337.529154	337.595125	337.66115	337.727228	337.79336	337.859545	337.925785	337.992078	338.058424	338.124825
20	343.370827	343.498625	343.62662	343.754813	343.883205	344.011795	344.140584	344.269573	344.398761	344.52815	344.65774
30	349.178485	349.414573	349.651324	349.88874	350.126824	350.365579	350.605006	350.845109	351.085889	351.327349	351.569492
40	354.891115	355.308787	355.728502	356.150273	356.574114	357.000036	357.428054	357.858181	358.290432	358.724819	359.161357
50	360.513235	361.224053	361.940701	362.663241	363.391738	364.126256	364.866861	365.613619	366.366599	367.125869	367.891502
60	366.049016	367.21743	368.401383	369.601146	370.816998	372.049226	373.298126	374.563999	375.847161	377.14793	378.46664
70	371.502317	373.364182	375.265016	377.205897	379.187953	381.212363	383.280359	385.393233	387.552332	389.759073	392.014935
80	376.876718	379.762626	382.741142	385.816243	388.992185	392.273525	395.665145	399.172289	402.800586	406.556093	410.445334
90	382.175548	386.540425	391.115283	395.913863	400.951373	406.244679	411.812533	417.675842	423.857984	430.385186	437.286972
100	387.401909	393.863201	400.781804	408.202754	416.178349	424.769633	434.04829	444.099071	455.022938	466.941199	480.001014
